,index,track,rank,date
1247,2303,Don't Say You Love Me,21.0,2000-01-08
1248,2620,Don't Say You Love Me,64.0,2000-01-15
1249,2937,Don't Say You Love Me,92.0,2000-01-22
1250,3254,Don't Say You Love Me,98.0,2000-01-29
1251,3571,Don't Say You Love Me,98.0,2000-02-05
1252,95,Don't Think I'm Not,66.0,2000-08-05
1253,412,Don't Think I'm Not,66.0,2000-08-12
1254,729,Don't Think I'm Not,66.0,2000-08-19
1255,1046,Don't Think I'm Not,61.0,2000-08-26
1256,1363,Don't Think I'm Not,49.0,2000-09-02
1257,1680,Don't Think I'm Not,42.0,2000-09-09
1258,1997,Don't Think I'm Not,36.0,2000-09-16
1259,2314,Don't Think I'm Not,33.0,2000-09-23
1260,2631,Don't Think I'm Not,28.0,2000-09-30
1261,2948,Don't Think I'm Not,24.0,2000-10-07
1262,3265,Don't Think I'm Not,26.0,2000-10-14
1263,3582,Don't Think I'm Not,26.0,2000-10-21
1264,3899,Don't Think I'm Not,28.0,2000-10-28
1265,4216,Don't Think I'm Not,29.0,2000-11-04
1266,4533,Don't Think I'm Not,27.0,2000-11-11
1267,4850,Don't Think I'm Not,31.0,2000-11-18
1268,5167,Don't Think I'm Not,31.0,2000-11-25
1269,5484,Don't Think I'm Not,26.0,2000-12-02
1270,5801,Don't Think I'm Not,25.0,2000-12-09
1271,6118,Don't Think I'm Not,25.0,2000-12-16
1272,6435,Don't Think I'm Not,30.0,2000-12-23
1273,6752,Don't Think I'm Not,40.0,2000-12-30
1274,7069,Don't Think I'm Not,36.0,2001-01-06
1275,7386,Don't Think I'm Not,41.0,2001-01-13
1276,170,Emotional,77.0,2000-11-25
1277,487,Emotional,63.0,2000-12-02
1278,804,Emotional,61.0,2000-12-09
1279,1121,Emotional,58.0,2000-12-16
1280,1438,Emotional,54.0,2000-12-23
1281,1755,Emotional,47.0,2000-12-30
1282,2072,Emotional,53.0,2001-01-06
1283,2389,Emotional,52.0,2001-01-13
1284,2706,Emotional,49.0,2001-01-20
1285,3023,Emotional,52.0,2001-01-27
1286,3340,Emotional,60.0,2001-02-03
1287,3657,Emotional,62.0,2001-02-10
1288,3974,Emotional,69.0,2001-02-17
1289,4291,Emotional,69.0,2001-02-24
1290,4608,Emotional,63.0,2001-03-03
1291,4925,Emotional,76.0,2001-03-10
1292,5242,Emotional,87.0,2001-03-17
1293,5559,Emotional,82.0,2001-03-24
1294,5876,Emotional,91.0,2001-03-31
1295,6193,Emotional,99.0,2001-04-07
1296,12,Everything You Want,70.0,2000-01-22
1297,329,Everything You Want,61.0,2000-01-29
1298,646,Everything You Want,53.0,2000-02-05
1299,963,Everything You Want,46.0,2000-02-12
1300,1280,Everything You Want,40.0,2000-02-19
1301,1597,Everything You Want,33.0,2000-02-26
1302,1914,Everything You Want,31.0,2000-03-04
1303,2231,Everything You Want,26.0,2000-03-11
1304,2548,Everything You Want,22.0,2000-03-18
1305,2865,Everything You Want,19.0,2000-03-25
1306,3182,Everything You Want,17.0,2000-04-01
1307,3499,Everything You Want,15.0,2000-04-08
1308,3816,Everything You Want,13.0,2000-04-15
1309,4133,Everything You Want,9.0,2000-04-22
1310,4450,Everything You Want,9.0,2000-04-29
1311,4767,Everything You Want,8.0,2000-05-06
1312,5084,Everything You Want,8.0,2000-05-13
1313,5401,Everything You Want,6.0,2000-05-20
1314,5718,Everything You Want,7.0,2000-05-27
1315,6035,Everything You Want,7.0,2000-06-03
1316,6352,Everything You Want,8.0,2000-06-10
1317,6669,Everything You Want,3.0,2000-06-17
1318,6986,Everything You Want,3.0,2000-06-24
1319,7303,Everything You Want,6.0,2000-07-01
1320,7620,Everything You Want,6.0,2000-07-08
1321,7937,Everything You Want,1.0,2000-07-15
1322,8254,Everything You Want,2.0,2000-07-22
1323,8571,Everything You Want,3.0,2000-07-29
1324,8888,Everything You Want,4.0,2000-08-05
1325,9205,Everything You Want,7.0,2000-08-12
1326,9522,Everything You Want,9.0,2000-08-19
1327,9839,Everything You Want,10.0,2000-08-26
1328,10156,Everything You Want,18.0,2000-09-02
1329,10473,Everything You Want,20.0,2000-09-09
1330,10790,Everything You Want,27.0,2000-09-16
1331,11107,Everything You Want,29.0,2000-09-23
1332,11424,Everything You Want,36.0,2000-09-30
1333,11741,Everything You Want,40.0,2000-10-07
1334,12058,Everything You Want,50.0,2000-10-14
1335,12375,Everything You Want,47.0,2000-10-21
1336,12692,Everything You Want,50.0,2000-10-28
1337,85,Faded,94.0,2000-07-08
1338,402,Faded,90.0,2000-07-15
1339,719,Faded,81.0,2000-07-22
1340,1036,Faded,64.0,2000-07-29
1341,1353,Faded,56.0,2000-08-05
1342,1670,Faded,43.0,2000-08-12
1343,1987,Faded,35.0,2000-08-19
1344,2304,Faded,27.0,2000-08-26
1345,2621,Faded,25.0,2000-09-02
1346,2938,Faded,22.0,2000-09-09
1347,3255,Faded,22.0,2000-09-16
1348,3572,Faded,27.0,2000-09-23
1349,3889,Faded,27.0,2000-09-30
1350,4206,Faded,27.0,2000-10-07
1351,4523,Faded,31.0,2000-10-14
1352,4840,Faded,31.0,2000-10-21
1353,5157,Faded,30.0,2000-10-28
1354,5474,Faded,34.0,2000-11-04
1355,5791,Faded,31.0,2000-11-11
1356,6108,Faded,34.0,2000-11-18
1357,6425,Faded,34.0,2000-11-25
1358,6742,Faded,38.0,2000-12-02
1359,7059,Faded,45.0,2000-12-09
1360,7376,Faded,50.0,2000-12-16
1361,116,Falls Apart,70.0,2000-01-15
1362,433,Falls Apart,64.0,2000-01-22
1363,750,Falls Apart,54.0,2000-01-29
1364,1067,Falls Apart,40.0,2000-02-05
1365,1384,Falls Apart,34.0,2000-02-12
1366,1701,Falls Apart,29.0,2000-02-19
1367,2018,Falls Apart,29.0,2000-02-26
1368,2335,Falls Apart,32.0,2000-03-04
1369,2652,Falls Apart,32.0,2000-03-11
1370,2969,Falls Apart,37.0,2000-03-18
1371,3286,Falls Apart,47.0,2000-03-25
1372,3603,Falls Apart,49.0,2000-04-01
1373,3920,Falls Apart,52.0,2000-04-08
1374,4237,Falls Apart,60.0,2000-04-15
1375,4554,Falls Apart,76.0,2000-04-22
1376,4871,Falls Apart,80.0,2000-04-29
1377,5188,Falls Apart,89.0,2000-05-06
1378,5505,Falls Apart,97.0,2000-05-13
1379,5822,Falls Apart,98.0,2000-05-20
1380,6139,Falls Apart,100.0,2000-05-27
1381,180,Feelin' Good,79.0,2000-02-19
1382,497,Feelin' Good,79.0,2000-02-26
1383,814,Feelin' Good,66.0,2000-03-04
1384,1131,Feelin' Good,54.0,2000-03-11
1385,1448,Feelin' Good,54.0,2000-03-18
1386,1765,Feelin' Good,54.0,2000-03-25
1387,2082,Feelin' Good,54.0,2000-04-01
1388,2399,Feelin' Good,51.0,2000-04-08
1389,2716,Feelin' Good,61.0,2000-04-15
1390,3033,Feelin' Good,79.0,2000-04-22
1391,3350,Feelin' Good,96.0,2000-04-29
1392,4301,Feelin' Good,64.0,2000-05-20
1393,4618,Feelin' Good,74.0,2000-05-27
1394,4935,Feelin' Good,73.0,2000-06-03
1395,5252,Feelin' Good,79.0,2000-06-10
1396,5569,Feelin' Good,82.0,2000-06-17
1397,5886,Feelin' Good,96.0,2000-06-24
1398,183,Feels Like Love,82.0,2000-09-02
1399,500,Feels Like Love,76.0,2000-09-09
1400,817,Feels Like Love,74.0,2000-09-16
1401,1134,Feels Like Love,73.0,2000-09-23
1402,1451,Feels Like Love,73.0,2000-09-30
1403,1768,Feels Like Love,65.0,2000-10-07
1404,2085,Feels Like Love,59.0,2000-10-14
1405,2402,Feels Like Love,58.0,2000-10-21
1406,2719,Feels Like Love,54.0,2000-10-28
1407,3036,Feels Like Love,54.0,2000-11-04
1408,3353,Feels Like Love,53.0,2000-11-11
1409,3670,Feels Like Love,52.0,2000-11-18
1410,3987,Feels Like Love,55.0,2000-11-25
1411,4304,Feels Like Love,52.0,2000-12-02
1412,4621,Feels Like Love,57.0,2000-12-09
1413,4938,Feels Like Love,76.0,2000-12-16
1414,5255,Feels Like Love,91.0,2000-12-23
1415,5572,Feels Like Love,99.0,2000-12-30
1416,6206,Feels Like Love,91.0,2001-01-13
1417,6523,Feels Like Love,89.0,2001-01-20
1418,177,Flowers On The Wall,95.0,2000-04-29
1419,494,Flowers On The Wall,88.0,2000-05-06
1420,811,Flowers On The Wall,88.0,2000-05-13
1421,1128,Flowers On The Wall,82.0,2000-05-20
1422,1445,Flowers On The Wall,82.0,2000-05-27
1423,1762,Flowers On The Wall,77.0,2000-06-03
1424,2079,Flowers On The Wall,72.0,2000-06-10
1425,2396,Flowers On The Wall,67.0,2000-06-17
1426,2713,Flowers On The Wall,65.0,2000-06-24
1427,3030,Flowers On The Wall,65.0,2000-07-01
1428,3347,Flowers On The Wall,65.0,2000-07-08
1429,3664,Flowers On The Wall,60.0,2000-07-15
1430,3981,Flowers On The Wall,60.0,2000-07-22
1431,4298,Flowers On The Wall,53.0,2000-07-29
1432,4615,Flowers On The Wall,51.0,2000-08-05
1433,4932,Flowers On The Wall,50.0,2000-08-12
1434,5249,Flowers On The Wall,57.0,2000-08-19
1435,5566,Flowers On The Wall,77.0,2000-08-26
1436,5883,Flowers On The Wall,83.0,2000-09-02
1437,6200,Flowers On The Wall,89.0,2000-09-09
1438,99,Forgot About Dre,75.0,2000-01-22
1439,416,Forgot About Dre,55.0,2000-01-29
1440,733,Forgot About Dre,47.0,2000-02-05
1441,1050,Forgot About Dre,36.0,2000-02-12
1442,1367,Forgot About Dre,36.0,2000-02-19
1443,1684,Forgot About Dre,30.0,2000-02-26
1444,2001,Forgot About Dre,30.0,2000-03-04
1445,2318,Forgot About Dre,31.0,2000-03-11
1446,2635,Forgot About Dre,26.0,2000-03-18
1447,2952,Forgot About Dre,25.0,2000-03-25
1448,3269,Forgot About Dre,25.0,2000-04-01
1449,3586,Forgot About Dre,26.0,2000-04-08
1450,3903,Forgot About Dre,26.0,2000-04-15
1451,4220,Forgot About Dre,28.0,2000-04-22
1452,4537,Forgot About Dre,34.0,2000-04-29
1453,4854,Forgot About Dre,47.0,2000-05-06
1454,5171,Forgot About Dre,58.0,2000-05-13
1455,5488,Forgot About Dre,68.0,2000-05-20
1456,5805,Forgot About Dre,80.0,2000-05-27
1457,6122,Forgot About Dre,82.0,2000-06-03
1458,313,Freakin' It,99.0,2000-02-12
1459,630,Freakin' It,99.0,2000-02-19
1460,947,Freakin' It,99.0,2000-02-26
1461,1264,Freakin' It,99.0,2000-03-04
1462,63,From The Bottom Of My Broken Heart,76.0,2000-01-29
1463,380,From The Bottom Of My Broken Heart,59.0,2000-02-05
1464,697,From The Bottom Of My Broken Heart,52.0,2000-02-12
1465,1014,From The Bottom Of My Broken Heart,52.0,2000-02-19
1466,1331,From The Bottom Of My Broken Heart,14.0,2000-02-26
1467,1648,From The Bottom Of My Broken Heart,14.0,2000-03-04
1468,1965,From The Bottom Of My Broken Heart,17.0,2000-03-11
1469,2282,From The Bottom Of My Broken Heart,24.0,2000-03-18
1470,2599,From The Bottom Of My Broken Heart,33.0,2000-03-25
1471,2916,From The Bottom Of My Broken Heart,35.0,2000-04-01
1472,3233,From The Bottom Of My Broken Heart,41.0,2000-04-08
1473,3550,From The Bottom Of My Broken Heart,45.0,2000-04-15
1474,3867,From The Bottom Of My Broken Heart,54.0,2000-04-22
1475,4184,From The Bottom Of My Broken Heart,64.0,2000-04-29
1476,4501,From The Bottom Of My Broken Heart,64.0,2000-05-06
1477,4818,From The Bottom Of My Broken Heart,81.0,2000-05-13
1478,5135,From The Bottom Of My Broken Heart,97.0,2000-05-20
1479,5452,From The Bottom Of My Broken Heart,92.0,2000-05-27
1480,5769,From The Bottom Of My Broken Heart,86.0,2000-06-03
1481,6086,From The Bottom Of My Broken Heart,90.0,2000-06-10
1482,168,G'D Up,77.0,2000-01-08
1483,485,G'D Up,77.0,2000-01-15
1484,802,G'D Up,89.0,2000-01-22
1485,1119,G'D Up,64.0,2000-01-29
1486,1436,G'D Up,57.0,2000-02-05
1487,1753,G'D Up,47.0,2000-02-12
1488,2070,G'D Up,47.0,2000-02-19
1489,2387,G'D Up,55.0,2000-02-26
1490,2704,G'D Up,65.0,2000-03-04
1491,3021,G'D Up,69.0,2000-03-11
1492,3338,G'D Up,83.0,2000-03-18
1493,3655,G'D Up,82.0,2000-03-25
1494,3972,G'D Up,90.0,2000-04-01
1495,4289,G'D Up,94.0,2000-04-08
1496,29,Get It On.. Tonite,92.0,1999-10-23
1497,346,Get It On.. Tonite,80.0,1999-10-30
1498,663,Get It On.. Tonite,72.0,1999-11-06
1499,980,Get It On.. Tonite,69.0,1999-11-13
1500,1297,Get It On.. Tonite,67.0,1999-11-20
1501,1614,Get It On.. Tonite,61.0,1999-11-27
1502,1931,Get It On.. Tonite,54.0,1999-12-04
1503,2248,Get It On.. Tonite,43.0,1999-12-11
1504,2565,Get It On.. Tonite,38.0,1999-12-18
1505,2882,Get It On.. Tonite,24.0,1999-12-25
1506,3199,Get It On.. Tonite,24.0,2000-01-01
1507,3516,Get It On.. Tonite,20.0,2000-01-08
1508,3833,Get It On.. Tonite,19.0,2000-01-15
1509,4150,Get It On.. Tonite,15.0,2000-01-22
1510,4467,Get It On.. Tonite,15.0,2000-01-29
1511,4784,Get It On.. Tonite,5.0,2000-02-05
1512,5101,Get It On.. Tonite,4.0,2000-02-12
1513,5418,Get It On.. Tonite,4.0,2000-02-19
1514,5735,Get It On.. Tonite,7.0,2000-02-26
1515,6052,Get It On.. Tonite,10.0,2000-03-04
1516,6369,Get It On.. Tonite,5.0,2000-03-11
1517,6686,Get It On.. Tonite,9.0,2000-03-18
1518,7003,Get It On.. Tonite,9.0,2000-03-25
1519,7320,Get It On.. Tonite,7.0,2000-04-01
1520,7637,Get It On.. Tonite,9.0,2000-04-08
1521,7954,Get It On.. Tonite,10.0,2000-04-15
1522,8271,Get It On.. Tonite,10.0,2000-04-22
1523,8588,Get It On.. Tonite,15.0,2000-04-29
1524,8905,Get It On.. Tonite,18.0,2000-05-06
1525,9222,Get It On.. Tonite,23.0,2000-05-13
1526,9539,Get It On.. Tonite,30.0,2000-05-20
1527,9856,Get It On.. Tonite,42.0,2000-05-27
1528,307,Get Up,100.0,2000-03-04
1529,624,Get Up,97.0,2000-03-11
1530,941,Get Up,97.0,2000-03-18
1531,189,Girls Dem Sugar,72.0,2000-10-21
1532,506,Girls Dem Sugar,72.0,2000-10-28
1533,823,Girls Dem Sugar,63.0,2000-11-04
1534,1140,Girls Dem Sugar,56.0,2000-11-11
1535,1457,Girls Dem Sugar,62.0,2000-11-18
1536,1774,Girls Dem Sugar,63.0,2000-11-25
1537,2091,Girls Dem Sugar,54.0,2000-12-02
1538,2408,Girls Dem Sugar,60.0,2000-12-09
1539,2725,Girls Dem Sugar,69.0,2000-12-16
1540,3042,Girls Dem Sugar,75.0,2000-12-23
1541,3359,Girls Dem Sugar,84.0,2000-12-30
1542,3676,Girls Dem Sugar,92.0,2001-01-06
1543,3993,Girls Dem Sugar,85.0,2001-01-13
1544,4310,Girls Dem Sugar,84.0,2001-01-20
1545,4627,Girls Dem Sugar,95.0,2001-01-27
1546,22,Give Me Just One Night (Una Noche),51.0,2000-08-19
1547,339,Give Me Just One Night (Una Noche),39.0,2000-08-26
1548,656,Give Me Just One Night (Una Noche),34.0,2000-09-02
1549,973,Give Me Just One Night (Una Noche),26.0,2000-09-09
1550,1290,Give Me Just One Night (Una Noche),26.0,2000-09-16
1551,1607,Give Me Just One Night (Una Noche),19.0,2000-09-23
1552,1924,Give Me Just One Night (Una Noche),2.0,2000-09-30
1553,2241,Give Me Just One Night (Una Noche),2.0,2000-10-07
1554,2558,Give Me Just One Night (Una Noche),3.0,2000-10-14
1555,2875,Give Me Just One Night (Una Noche),6.0,2000-10-21
1556,3192,Give Me Just One Night (Una Noche),7.0,2000-10-28
1557,3509,Give Me Just One Night (Una Noche),22.0,2000-11-04
1558,3826,Give Me Just One Night (Una Noche),29.0,2000-11-11
1559,4143,Give Me Just One Night (Una Noche),36.0,2000-11-18
1560,4460,Give Me Just One Night (Una Noche),47.0,2000-11-25
1561,4777,Give Me Just One Night (Una Noche),67.0,2000-12-02
1562,5094,Give Me Just One Night (Una Noche),66.0,2000-12-09
1563,5411,Give Me Just One Night (Una Noche),84.0,2000-12-16
1564,5728,Give Me Just One Night (Una Noche),93.0,2000-12-23
1565,6045,Give Me Just One Night (Una Noche),94.0,2000-12-30
1566,233,Give Me You,97.0,2000-04-15
1567,550,Give Me You,94.0,2000-04-22
1568,867,Give Me You,77.0,2000-04-29
1569,1184,Give Me You,76.0,2000-05-06
1570,1501,Give Me You,68.0,2000-05-13
1571,1818,Give Me You,77.0,2000-05-20
1572,2135,Give Me You,89.0,2000-05-27
1573,2452,Give Me You,90.0,2000-06-03
1574,3086,Give Me You,100.0,2000-06-17
1575,152,Go On,71.0,2000-08-26
1576,469,Go On,67.0,2000-09-02
1577,786,Go On,63.0,2000-09-09
1578,1103,Go On,56.0,2000-09-16
1579,1420,Go On,53.0,2000-09-23
1580,1737,Go On,48.0,2000-09-30
1581,2054,Go On,46.0,2000-10-07
1582,2371,Go On,46.0,2000-10-14
1583,2688,Go On,44.0,2000-10-21
1584,3005,Go On,40.0,2000-10-28
1585,3322,Go On,44.0,2000-11-04
1586,3639,Go On,46.0,2000-11-11
1587,3956,Go On,49.0,2000-11-18
1588,4273,Go On,56.0,2000-11-25
1589,4590,Go On,56.0,2000-12-02
1590,4907,Go On,71.0,2000-12-09
1591,5224,Go On,78.0,2000-12-16
1592,5541,Go On,88.0,2000-12-23
1593,5858,Go On,95.0,2000-12-30
1594,6492,Go On,97.0,2001-01-13
1595,74,Goodbye Earl,40.0,2000-03-18
1596,391,Goodbye Earl,29.0,2000-03-25
1597,708,Goodbye Earl,24.0,2000-04-01
1598,1025,Goodbye Earl,24.0,2000-04-08
1599,1342,Goodbye Earl,20.0,2000-04-15
1600,1659,Goodbye Earl,20.0,2000-04-22
1601,1976,Goodbye Earl,20.0,2000-04-29
1602,2293,Goodbye Earl,19.0,2000-05-06
1603,2610,Goodbye Earl,38.0,2000-05-13
1604,2927,Goodbye Earl,61.0,2000-05-20
1605,3244,Goodbye Earl,86.0,2000-05-27
1606,3561,Goodbye Earl,88.0,2000-06-03
1607,3878,Goodbye Earl,96.0,2000-06-10
1608,4195,Goodbye Earl,96.0,2000-06-17
1609,4512,Goodbye Earl,98.0,2000-06-24
1610,315,Got Beef,99.0,2000-07-01
1611,632,Got Beef,99.0,2000-07-08
1612,289,Got It All,89.0,2000-07-15
1613,606,Got It All,88.0,2000-07-22
1614,923,Got It All,88.0,2000-07-29
1615,1240,Got It All,91.0,2000-08-05
1616,1557,Got It All,95.0,2000-08-12
1617,153,Got To Get It,92.0,1999-11-20
1618,470,Got To Get It,76.0,1999-11-27
1619,787,Got To Get It,73.0,1999-12-04
1620,1104,Got To Get It,58.0,1999-12-11
1621,1421,Got To Get It,48.0,1999-12-18
1622,1738,Got To Get It,48.0,1999-12-25
1623,2055,Got To Get It,48.0,2000-01-01
1624,2372,Got To Get It,48.0,2000-01-08
1625,2689,Got To Get It,49.0,2000-01-15
1626,3006,Got To Get It,40.0,2000-01-22
1627,3323,Got To Get It,43.0,2000-01-29
1628,3640,Got To Get It,51.0,2000-02-05
1629,3957,Got To Get It,50.0,2000-02-12
1630,4274,Got To Get It,57.0,2000-02-19
1631,4591,Got To Get It,63.0,2000-02-26
1632,4908,Got To Get It,64.0,2000-03-04
1633,5225,Got To Get It,68.0,2000-03-11
1634,5542,Got To Get It,82.0,2000-03-18
1635,5859,Got To Get It,88.0,2000-03-25
1636,6176,Got To Get It,95.0,2000-04-01
1637,33,Gotta Tell You,85.0,2000-09-09
1638,350,Gotta Tell You,72.0,2000-09-16
1639,667,Gotta Tell You,65.0,2000-09-23
1640,984,Gotta Tell You,49.0,2000-09-30
1641,1301,Gotta Tell You,39.0,2000-10-07
1642,1618,Gotta Tell You,25.0,2000-10-14
1643,1935,Gotta Tell You,20.0,2000-10-21
1644,2252,Gotta Tell You,10.0,2000-10-28
1645,2569,Gotta Tell You,9.0,2000-11-04
1646,2886,Gotta Tell You,8.0,2000-11-11
1647,3203,Gotta Tell You,6.0,2000-11-18
1648,3520,Gotta Tell You,5.0,2000-11-25
1649,3837,Gotta Tell You,7.0,2000-12-02
1650,4154,Gotta Tell You,4.0,2000-12-09
1651,4471,Gotta Tell You,6.0,2000-12-16
1652,4788,Gotta Tell You,7.0,2000-12-23
1653,5105,Gotta Tell You,13.0,2000-12-30
1654,5422,Gotta Tell You,17.0,2001-01-06
1655,5739,Gotta Tell You,17.0,2001-01-13
1656,6056,Gotta Tell You,23.0,2001-01-20
1657,6373,Gotta Tell You,29.0,2001-01-27
1658,6690,Gotta Tell You,36.0,2001-02-03
1659,147,Graduation (Friends Forever),81.0,2000-04-15
1660,464,Graduation (Friends Forever),64.0,2000-04-22
1661,781,Graduation (Friends Forever),54.0,2000-04-29
1662,1098,Graduation (Friends Forever),54.0,2000-05-06
1663,1415,Graduation (Friends Forever),46.0,2000-05-13
1664,1732,Graduation (Friends Forever),40.0,2000-05-20
1665,2049,Graduation (Friends Forever),40.0,2000-05-27
1666,2366,Graduation (Friends Forever),40.0,2000-06-03
1667,2683,Graduation (Friends Forever),38.0,2000-06-10
1668,3000,Graduation (Friends Forever),42.0,2000-06-17
1669,3317,Graduation (Friends Forever),57.0,2000-06-24
1670,3634,Graduation (Friends Forever),87.0,2000-07-01
1671,112,Hanginaround,84.0,1999-11-06
1672,429,Hanginaround,70.0,1999-11-13
1673,746,Hanginaround,66.0,1999-11-20
1674,1063,Hanginaround,60.0,1999-11-27
1675,1380,Hanginaround,46.0,1999-12-04
1676,1697,Hanginaround,37.0,1999-12-11
1677,2014,Hanginaround,35.0,1999-12-18
1678,2331,Hanginaround,35.0,1999-12-25
1679,2648,Hanginaround,35.0,2000-01-01
1680,2965,Hanginaround,32.0,2000-01-08
1681,3282,Hanginaround,29.0,2000-01-15
1682,3599,Hanginaround,29.0,2000-01-22
1683,3916,Hanginaround,28.0,2000-01-29
1684,4233,Hanginaround,32.0,2000-02-05
1685,4550,Hanginaround,38.0,2000-02-12
1686,4867,Hanginaround,48.0,2000-02-19
1687,5184,Hanginaround,56.0,2000-02-26
1688,5501,Hanginaround,59.0,2000-03-04
1689,5818,Hanginaround,61.0,2000-03-11
1690,6135,Hanginaround,66.0,2000-03-18
1691,68,He Can't Love U,54.0,1999-12-11
1692,385,He Can't Love U,32.0,1999-12-18
1693,702,He Can't Love U,17.0,1999-12-25
1694,1019,He Can't Love U,17.0,2000-01-01
1695,1336,He Can't Love U,15.0,2000-01-08
1696,1653,He Can't Love U,18.0,2000-01-15
1697,1970,He Can't Love U,18.0,2000-01-22
1698,2287,He Can't Love U,18.0,2000-01-29
1699,2604,He Can't Love U,18.0,2000-02-05
1700,2921,He Can't Love U,25.0,2000-02-12
1701,3238,He Can't Love U,24.0,2000-02-19
1702,3555,He Can't Love U,24.0,2000-02-26
1703,3872,He Can't Love U,26.0,2000-03-04
1704,4189,He Can't Love U,33.0,2000-03-11
1705,4506,He Can't Love U,44.0,2000-03-18
1706,4823,He Can't Love U,51.0,2000-03-25
1707,5140,He Can't Love U,53.0,2000-04-01
1708,5457,He Can't Love U,65.0,2000-04-08
1709,5774,He Can't Love U,69.0,2000-04-15
1710,6091,He Can't Love U,77.0,2000-04-22
1711,19,He Loves U Not,99.0,2000-09-30
1712,336,He Loves U Not,92.0,2000-10-07
1713,653,He Loves U Not,81.0,2000-10-14
1714,970,He Loves U Not,59.0,2000-10-21
1715,1287,He Loves U Not,47.0,2000-10-28
1716,1604,He Loves U Not,42.0,2000-11-04
1717,1921,He Loves U Not,32.0,2000-11-11
1718,2238,He Loves U Not,27.0,2000-11-18
1719,2555,He Loves U Not,18.0,2000-11-25
1720,2872,He Loves U Not,18.0,2000-12-02
1721,3189,He Loves U Not,11.0,2000-12-09
1722,3506,He Loves U Not,8.0,2000-12-16
1723,3823,He Loves U Not,5.0,2000-12-23
1724,4140,He Loves U Not,2.0,2000-12-30
1725,4457,He Loves U Not,2.0,2001-01-06
1726,4774,He Loves U Not,3.0,2001-01-13
1727,5091,He Loves U Not,3.0,2001-01-20
1728,5408,He Loves U Not,3.0,2001-01-27
1729,5725,He Loves U Not,7.0,2001-02-03
1730,6042,He Loves U Not,9.0,2001-02-10
1731,6359,He Loves U Not,10.0,2001-02-17
1732,6676,He Loves U Not,11.0,2001-02-24
1733,6993,He Loves U Not,10.0,2001-03-03
1734,7310,He Loves U Not,19.0,2001-03-10
1735,7627,He Loves U Not,23.0,2001-03-17
1736,7944,He Loves U Not,28.0,2001-03-24
1737,8261,He Loves U Not,38.0,2001-03-31
1738,8578,He Loves U Not,46.0,2001-04-07
1739,20,He Wasn't Man Enough,63.0,2000-03-18
1740,337,He Wasn't Man Enough,55.0,2000-03-25
1741,654,He Wasn't Man Enough,48.0,2000-04-01
1742,971,He Wasn't Man Enough,39.0,2000-04-08
1743,1288,He Wasn't Man Enough,35.0,2000-04-15
1744,1605,He Wasn't Man Enough,24.0,2000-04-22
1745,1922,He Wasn't Man Enough,3.0,2000-04-29
1746,2239,He Wasn't Man Enough,2.0,2000-05-06
1747,2556,He Wasn't Man Enough,2.0,2000-05-13
1748,2873,He Wasn't Man Enough,4.0,2000-05-20
1749,3190,He Wasn't Man Enough,4.0,2000-05-27
1750,3507,He Wasn't Man Enough,5.0,2000-06-03
1751,3824,He Wasn't Man Enough,11.0,2000-06-10
1752,4141,He Wasn't Man Enough,12.0,2000-06-17
1753,4458,He Wasn't Man Enough,16.0,2000-06-24
1754,4775,He Wasn't Man Enough,15.0,2000-07-01
1755,5092,He Wasn't Man Enough,14.0,2000-07-08
1756,5409,He Wasn't Man Enough,14.0,2000-07-15
1757,5726,He Wasn't Man Enough,12.0,2000-07-22
1758,6043,He Wasn't Man Enough,10.0,2000-07-29
1759,6360,He Wasn't Man Enough,11.0,2000-08-05
1760,6677,He Wasn't Man Enough,13.0,2000-08-12
1761,6994,He Wasn't Man Enough,13.0,2000-08-19
1762,7311,He Wasn't Man Enough,13.0,2000-08-26
1763,7628,He Wasn't Man Enough,15.0,2000-09-02
1764,7945,He Wasn't Man Enough,16.0,2000-09-09
1765,8262,He Wasn't Man Enough,14.0,2000-09-16
1766,8579,He Wasn't Man Enough,13.0,2000-09-23
1767,8896,He Wasn't Man Enough,17.0,2000-09-30
1768,9213,He Wasn't Man Enough,19.0,2000-10-07
1769,9530,He Wasn't Man Enough,23.0,2000-10-14
1770,9847,He Wasn't Man Enough,29.0,2000-10-21
1771,10164,He Wasn't Man Enough,37.0,2000-10-28
1772,10481,He Wasn't Man Enough,33.0,2000-11-04
1773,10798,He Wasn't Man Enough,34.0,2000-11-11
1774,11115,He Wasn't Man Enough,41.0,2000-11-18
1775,11432,He Wasn't Man Enough,48.0,2000-11-25
1776,264,Hey Papi,98.0,2000-08-12
1777,581,Hey Papi,100.0,2000-08-19
1778,898,Hey Papi,98.0,2000-08-26
1779,1215,Hey Papi,94.0,2000-09-02
1780,1532,Hey Papi,83.0,2000-09-09
1781,1849,Hey Papi,83.0,2000-09-16
1782,2166,Hey Papi,80.0,2000-09-23
1783,2483,Hey Papi,78.0,2000-09-30
1784,2800,Hey Papi,76.0,2000-10-07
1785,3117,Hey Papi,77.0,2000-10-14
1786,3434,Hey Papi,85.0,2000-10-21
1787,3751,Hey Papi,91.0,2000-10-28
1788,4068,Hey Papi,93.0,2000-11-04
1789,4385,Hey Papi,88.0,2000-11-11
1790,4702,Hey Papi,94.0,2000-11-18
1791,46,Higher,81.0,1999-09-11
1792,363,Higher,77.0,1999-09-18
1793,680,Higher,73.0,1999-09-25
